type,id,lat,lon,tag:access,tag:access:conditional,tag:addr:city,tag:alt_name,tag:alt_name:en,tag:alt_name:etymology:wikidata,tag:alt_name:ga,tag:alt_name_1,tag:alt_name_2,tag:amenity,tag:area,tag:barrier,tag:bubbleid,tag:building,tag:check_date,tag:covered,tag:demolished,tag:denomination,tag:description,tag:description1,tag:disused,tag:disused:amenity,tag:disused:man_made,tag:drinkable:cup,tag:drinking_water,tag:fixme,tag:genus,tag:heritage,tag:heritage:operator,tag:heritage:website,tag:historic,tag:holy_well:cures:wikidata,tag:image,tag:intermittent,tag:landuse,tag:leisure,tag:level,tag:loc_name,tag:loc_name:etymology,tag:loc_name:etymology:wikidata,tag:locality,tag:logainm:ref,tag:man_made,tag:mapillary,tag:name,tag:name:1839,tag:name:de,tag:name:en,tag:name:etymology,tag:name:etymology:wikidata,tag:name:etymology:wikipedia,tag:name:ga,tag:name:ie,tag:natural,tag:note,tag:old_name,tag:old_name:etymology:wikidata,tag:operator,tag:patron_day,tag:place_of_worship,tag:pump,tag:ref:IE:niah,tag:ref:IE:nm,tag:ref:IE:smr,tag:religion,tag:saint:name,tag:service_times,tag:sketchfab,tag:source,tag:source:alt_name,tag:source:description,tag:source:name,tag:source:place_of_worship,tag:subject:wikidata,tag:subject:wikipedia,tag:survey:date,tag:tourism,tag:url:sketchfab,tag:was:amenity,tag:was:name,tag:was:natural,tag:was:place_of_worship,tag:was:service_times,tag:water,tag:water_source,tag:website,tag:well:cure,tag:wheelchair,tag:wikidata,tag:wikimedia_commons,tag:wikipedia
node,9043773391,53.7198502,-8.4138677,,,,Toberbreda,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Bride's Well,,,,,,,Tobar Naomh Bríde,,spring,,,,,,holy_well,,,,RO027-048006,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9051924722,53.4236904,-9.3090704,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,https://www.ouririshheritage.org/wp-content/uploads/2020/05/GA054-044_HolyWelldsc_0187-1-658x439.jpg,,,,,,,,,,,,St Cummin's Well,,,,,Q5194153,,,,spring,,,,,,holy_well,,,,GA054-044----,christian,,,,,,,,,,,,,https://sketchfab.com/3d-models/st-cummins-holy-well-oughterard-co-galway-3cd17aed617a4a5890f78dd644e4f934,,,,,,,,,,yes,,,
node,9056948065,54.230969,-5.6571026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_well,,St John's Well,,,,,,,,,,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9064403531,53.7151918,-7.0693535,,,,St Kevin's Well,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Kevin's Well,,,,,Q737198,,,,spring,,,,,,holy_well,,,,ME015-056011-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9108416676,53.3419239,-7.2819775,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Finnrenashark Holy Well,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9108416700,53.342177,-7.2846088,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9110402650,52.18571,-10.3364092,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,2,,,,,,,,,,,,,,,,,St Brendan’s Well,,,,,Q208961,,,,spring,,,,,,holy_well,,,65,KE042-026010,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9110402669,52.1842464,-10.3375136,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,holy_well,,,,KE042-026011,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9119951069,51.6430986,-8.7631463,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,bullaun_stone,,,,,,,,,,,,,987425848765774,Wart Well,,,,,Q101971,,,,stone,,,,,,holy_well,,,,CO123-050003-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9124666954,53.2214729,-7.255775,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lord's Well,,,,,Q302,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9152995509,53.3243404,-7.3639566,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Clavin's Well,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9153381755,53.160307,-7.545872,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Manman's Well,,,,,,,,,spring,,,,,,holy_well,,,,LA002-002003-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9157685557,53.161399,-7.4688631,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Fintan's Well,,,,,Q3072671,,,,spring,,,,,,holy_well,,,,LA003-004001-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9157685558,53.16137,-7.4691179,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Fintan's Well,,,,,Q3072671,,,,spring,,,,,,holy_well,,,,LA003-004002-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9161310680,53.2673113,-7.3693585,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9161310681,53.267215,-7.3692352,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint John's Well,,,,,Q40662,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9161310682,53.2669744,-7.3690367,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Lady's Well,,,,,Q345,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9161310683,53.2674524,-7.3692781,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's Well,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9169473513,51.6630432,-8.6060819,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,wayside_shrine,,,,,,,,,,,,,,Sunday’s Well,,,,,Q132,,Tobarin an Domhnach,,spring,,,,,,holy_well,,,,CO124-036----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9201141681,52.4318913,-6.4290163,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,St. Nicholas' Well,,,,,,,,,spring,,,,,,holy_well,,,,WX033-003----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9231087149,52.4341464,-6.7055091,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Francis' Well,,,,,Q676555,,,,spring,,,,,,holy_well,,,,WX031-002----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9236251894,52.4336123,-6.6495144,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,St. Cowan's Well,,,,,Q5202799,,,,spring,,,,,,holy_well,,,,WX031-008----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9247845461,52.2694442,-6.4894921,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Martin's Well,,,,,Q133704,,,,spring,,,,,,holy_well,,,,WX042-029003-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9263654929,51.4984652,-9.2973075,,,,,,,,,,,,,,,,yes,,roman_catholic,,,,,,,yes,,,2,IE:smr,,yes,,,,,,,,,,,,,,Tobar Bríde,,,,,,,Tobar Bríde,,spring,,,,,Feb 01,holy_well,,,,CO150-030004-,christian,,,,,,,,,,,,attraction,,,,,,,,,,,,,,
node,9293228097,52.5440561,-8.3497784,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick's Well,,,,,Q165479,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9293363673,52.4288363,-8.5219574,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Patrick's Well,,,,,Q165479,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
