type,id,version,timestamp,changeset,user,uid,lat,lon,tag:heritage,tag:heritage:operator,tag:historic,tag:name,tag:name:ga,tag:ref:IE:nm,tag:ref:IE:smr,tag:wikidata,tag:wikipedia,tag:sketchfab,tag:tourism,tag:url:sketchfab,tag:material,tag:website,tag:alt_name,tag:inscription:la,tag:source:inscription,tag:wikimedia_commons,tag:note,tag:moved,tag:fixme,tag:name:en,tag:description,tag:inscription,tag:project,tag:source,tag:access,tag:height,tag:image,tag:moved:from,tag:source_ref,tag:width,tag:inscription:en,tag:inscription:pgl-Latn,tag:moved_to:wikidata,tag:location,tag:archaeological_site,tag:historic:civilization,tag:level,tag:depth,tag:source:ref,tag:image:license,tag:indoor,tag:moved_from,tag:ref,tag:ref:IE:ucc,tag:source:inscription:pgl-Latn,tag:loc_name,tag:related:wikipedia,tag:related:wikidata,tag:url:ogham3D,tag:colour,tag:moved_from:wikidata,tag:ref:IE:ciic,tag:moved_date,tag:discovery:date,tag:source:inscription:pgk-Latn,tag:ref:IE:cpm,tag:url
node,11558269687,2,2024-11-26T07:16:09Z,159601525,geozeisig,66391,52.0035443,-8.5371333,2,IE:smr,ogham_stone,Long Stone,,,CO052-014----,,,,,,,,,,,,,,,,,,,British War office map;Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11574593297,2,2024-11-26T07:16:09Z,159601525,geozeisig,66391,51.9814556,-8.7975611,2,IE:smr,ogham_stone,,,,CO061-187----,,,,,,,,,,,,,,,,,,,British War office map;Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11575064111,2,2024-11-26T07:16:09Z,159601525,geozeisig,66391,51.9521517,-8.8152966,2,IE:smr,ogham_stone,St. Olan's Cap,,,CO061-080005-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11677109638,4,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.2758257,-9.6430769,2,IE:smr,ogham_stone,CIIC 153 (Ballinrannig VI),,,KE042-057011-,Q106680820,,,,https://skfb.ly/oRynM,,,,,,File:CIIC_153_Ballinrannig_VI.jpg,,yes,,,,CCICAMINIvac. MAQ/Q[/I] C[A]TTINI,ogham.link,survey,,,,,,,,,Q40888587,,,,,,,,,,,,,,,,,,,,,,,,
node,11677113764,4,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.2758307,-9.6430461,2,IE:smr,ogham_stone,CIIC 152 (Ballinrannig V),,,KE042-057010-,Q106680819,,,,https://skfb.ly/oRBCy,,,,,,File:CIIC_152_Ballinrannig_V.jpg,,yes,,,,G̣/̣Ḷ[U]BB[IA]S MAQQ[I]/ [D(?)]N/ỊẠ?̣S,ogham.link,survey,,,,,,,,,Q40888587,,,,,,,,,,,,,,,,,,,,,,,,
node,11952692355,1,2024-06-02T23:28:32Z,152179362,b-unicycling,1713634,53.8962144,-8.6749037,,,ogham_stone,,,,,,,,,,,,,,,,,,,,,,,British War office map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11955662684,9,2024-06-06T09:52:55Z,152323057,b-unicycling,1713634,51.8937282,-8.492376,,,ogham_stone,UCC 6,,,,Q70382438,,,,,sandstone,,,,,,,yes,,,,,,survey,,,,,,0.38,,BRANI MAQQI MU[ ]C...,,,,,0,0.47,,,yes,"Knockshanawee, Co. Cork souterrain",,6,,,,,,red,Q69383268,116,,,,,
node,11955662685,9,2025-09-23T07:16:22Z,172327978,tg4567,12500589,51.8937317,-8.4923642,,,ogham_stone,UCC 27,,,CO074-138----,Q70885739,,,,,,,,,,Category:CIIC 112 (Ogham Stone Concept by RAS Macalister),,yes,,,,,,survey,,,,,,0.23,,UCANAVVI MAQ[ ] LUGUN[I],,,,,0,0.62,,,yes,"Knockshanawee, Co. Cork souterrain",,,,,,,,,,,,,,,
node,11955670771,6,2024-06-05T15:40:34Z,152294243,b-unicycling,1713634,51.8937168,-8.4922616,,,ogham_stone,UCC 2,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,0.28,,CULRIGANI MAQI MENUMAQ...,,,,,0,0.39,,,yes,"Knockshanawee, Co. Cork souterrain",,,,,,,,,,,,,,,
node,11955670773,6,2024-06-06T10:04:43Z,152323612,b-unicycling,1713634,51.8937029,-8.4923006,,,ogham_stone,UCC 3,,,,Q69385241,,,,,claystone,,,,,,,yes,,,,,,survey,,,,,,0.24,,COLLI,,,,,0,0.47,,,yes,"Knockshanawee, Co. Cork souterrain",,,,,,,,,Q69383268,,,,,,
node,11955670774,6,2024-06-05T15:40:34Z,152294243,b-unicycling,1713634,51.8936993,-8.4923118,,,ogham_stone,UCC 5,,,,,,,,,,,,,,,,yes,,,,,,survey,,,,,,0.23,,VEQIKAMI MAQI LUGUNI,,,,,0,0.4,,,yes,"Knockshanawee, Co. Cork souterrain",,,,,,,,,,,,,,,
